Channel_Name,Language,Tags,Last Played Game,Game ID
alelu,ja,"['日本語', 'apex', '雑談']",Apex Legends,511224
annoying,en,"['YRG', 'Nation', 'Kai', 'Cenat', 'ScumTK', 'Silky', 'English', '5star', 'plaqueboymax']",Just Chatting,509658
1drakonz,pt,['Português'],Grand Theft Auto V,32982
abdulhd,en,"['Nopixel', 'REACT', 'variety', 'Dubai', 'Arabic', 'UnitedArabEmirates', 'SaudiArabia', 'English', 'Roleplay', 'Cooking']",Grand Theft Auto V,32982
alanzoka,pt,"['Idoso', 'Gostoso', 'Português']",Just Chatting,509658
alenenwooptv,ko,['한국어'],Just Chatting,509658
alexelcapo,es,['Español'],Special Events,509663
aminematue,fr,['Français'],Just Chatting,509658
andypsx,es,['Español'],Poker,488190
anny,en,"['vtuber', 'forsen', 'depression', 'anime', 'gayge', 'PoroSad', 'English']",Just Chatting,509658
ac7ionman,en,"['Español', 'LGBTQ', 'AndrewTate', 'VTuber', 'English', 'KaiCenat', 'XQC', 'AdinRoss', 'Kevin', 'Fortnite']",Just Chatting,509658
aiekillu,fr,['Français'],Escape from Tarkov,491931
aimlul,ru,"['Русский', 'Депре́ссия', 'Животные', 'Шизофрения', 'DropsВключены']",Arena Breakout: Infinite,401587136
anniefuchsia,en,"['pve', 'pvp', 'adhd', 'hardcore', 'English', 'Swedish', 'girl']",Black Myth: Wukong,519291
anton,en,['English'],Escape from Tarkov,491931
adrianachechik_,en,"['MentalHealth', 'gamer', 'DLC', 'LGBTQ', 'English', 'couchcoop', 'gilrstreamer', 'Foodie', 'scarygames', 'emotionaldamage']",Hellblade: Senua's Sacrifice,461410
alanzq,en,"['English', 'polish']",Teamfight Tactics,513143
alliance_hakis,en,"['IGL', 'Comp', 'Scrim', 'Tourney', 'Pro', 'Alliance', 'Ranked', 'ApexPredator', 'English', 'movementgod']",Apex Legends,511224
alinity,en,"['English', 'Latina', 'Colombia', 'Spicy', 'FeetLoversWelcome']",Just Chatting,509658
anomaly,en,"['English', 'Fat', 'CS2']",Golf With Your Friends,491381
95pingman,ko,['한국어'],Just Chatting,509658
aimdll__,tr,['Türkçe'],VALORANT,516575
al3od,ar,['Arabic'],Just Chatting,509658
acie,en,['English'],VALORANT,516575
admiralbulldog,en,['English'],Dota 2,29595
agentsrange,de,['Competitive'],VALORANT,516575
alberee,es,alberee,Crypto,499634
annacramling,en,"['English', 'Chess', 'Sweden', 'Educational', 'Competitive', 'FutureGrandmaster']",Food & Drink,509667
5up,en,"['English', 'Vtuber', 'ENVtuber']",Town of Salem 2,1238739089
9qoq,zh,"['FPS', '技術路線', '劇情向', '公務員', '中文']",VALORANT,516575
abuswe7l,ar,"['arabic', 'arab', 'justchatting', 'GTAⅤ', 'RP', 'OL']",Just Chatting,509658
annemunition,en,"['English', 'LGBTQFriendly', 'ClosedCaptions']",Minecraft,27471
apexerpinky,ja,"['日本語', 'ApexLegens', 'pinky', 'GHS', 'VALORONAT']",Apex Legends,511224
aa9skillz,en,['English'],EA Sports FC 24,143106037
alfie,en,"['Christian', 'English']",Old School RuneScape,459931
ao_o5,ko,['한국어'],Just Chatting,509658
akanemsko,en,"['English', 'Educational', 'finnish', 'Competitive', 'VolumeWarning', 'IRL']",Poker,488190
albralelie,en,['English'],Escape from Tarkov,491931
alphacast,fr,"['Français', 'NoBackseat', 'NoSpoilers']",Special Events,509663
animal_n01,it,"['grandtheftauto', 'fps', 'aziz', 'red', 'rossi', 'Italiano', 'Albania', 'Albanian', 'albanese']",Grand Theft Auto V,32982
a_seagull,en,"['old', 'boomer', 'washed', 'English']",League of Legends,21779
aarononair,en,"['IRL', 'English', 'Roleplay', 'CopRP', 'K9', 'K9Roleplay', 'ONX', 'ONXRP']",OUTBRK,100748035
admiralbahroo,en,"['Comfy', 'Relaxed', 'Stream', 'English']",admiralbahroo,admiralbahroo
aba4647,ko,"['훈수금지', '한국어']",League of Legends,21779
ampeterby7,es,['Español'],F1 23,174553474
anna_chess,en,"['AuditoryASMR', 'Educational', 'positivevibes', 'cozy', 'familyfriendly', 'English', 'norwaychess', 'chess']",Stardew Valley,490744
8cho,es,8cho,Just Chatting,509658
9ambler,ko,"['한국어', '드롭활성화됨']",9ambler,9ambler
