Real Source,Real Target,Weight
109ace,01bd02,944
2chamcham2,01bd02,535
aba4647,01bd02,949
chodan_,01bd02,846
ddahyoni,01bd02,1225
dogswellfish,01bd02,1107
Faker,01bd02,569
flurry1989,01bd02,643
handongsuk,01bd02,2513
hanryang1125,01bd02,2447
hatsalsal,01bd02,1262
haxxnini,01bd02,966
johnny3047258,01bd02,582
kanetv8,01bd02,642
kimdoe,01bd02,739
kss7749,01bd02,826
leechunhyang,01bd02,507
leehunnyeo,01bd02,713
lol_ambition,01bd02,641
looksam,01bd02,516
lovelyyeon,01bd02,1112
magenta62,01bd02,712
nanajam777,01bd02,756
naseongkim,01bd02,535
nokduro,01bd02,1250
obm1025,01bd02,1011
pacific8815,01bd02,1916
paka9999,01bd02,796
pjs9073,01bd02,1057
portialyn,01bd02,731
rooftopcat99,01bd02,737
rudbeckia7,01bd02,581
runner0608,01bd02,1162
saddummy,01bd02,3099
ses836,01bd02,708
sonycast_,01bd02,1232
sooflower,01bd02,1137
tmxk319,01bd02,788
torona1,01bd02,1822
woohankyung,01bd02,1024
woowakgood,01bd02,616
yapyap30,01bd02,1431
yumyumyu77,01bd02,1737
zilioner,01bd02,2391
zzamtiger0310,01bd02,517
Crystal_LoL,10000DAYS,589
DanucD,10000DAYS,552
jrkz,10000DAYS,927
KendineMuzisyen,10000DAYS,1453
LEGOO,10000DAYS,824
Mithrain,10000DAYS,3679
mujs_,10000DAYS,582
pqueen,10000DAYS,652
PUBG_BATTLEGROUNDS,10000DAYS,1055
TGLTN,10000DAYS,632
Uthenera,10000DAYS,575
wtcN,10000DAYS,2913
2chamcham2,109ace,1328
dogswellfish,109ace,2577
dopa24,109ace,665
flamekr,109ace,2216
h920103,109ace,565
handongsuk,109ace,9486
hanryang1125,109ace,10611
jmjdoc,109ace,1036
liok0485,109ace,580
lol_cuvee,109ace,842
lol_madlife,109ace,830
naseongkim,109ace,3162
pikra10,109ace,1374
pjs9073,109ace,2891
qq102qq,109ace,647
rudbeckia7,109ace,1400
ses836,109ace,4970
so_urf,109ace,2605
torona1,109ace,2571
wkgml,109ace,633
yapyap30,109ace,6176
zoodasa,109ace,601
bt0tv,1DrakoNz,707
Bugha,1DrakoNz,568
casimito,1DrakoNz,2094
Clix,1DrakoNz,634
Coreano,1DrakoNz,1377
deercheerup,1DrakoNz,603
frttt,1DrakoNz,1161
k1ng,1DrakoNz,964
liminhag0d,1DrakoNz,566
loud_coringa,1DrakoNz,2224
MeikodRJ,1DrakoNz,1593
noahreyli,1DrakoNz,541
Patriota,1DrakoNz,982
paulanobre,1DrakoNz,645
pulgaboy,1DrakoNz,7061
