,Channel_Name,Language,Tags,Last Played Game,Game ID,Count
0,alelu,ja,"['日本語', 'apex', '雑談']",Apex Legends,511224,13509
1,alanzoka,pt,"['Idoso', 'Gostoso', 'Português']",Just Chatting,509658,201431
2,alenenwooptv,ko,['한국어'],Just Chatting,509658,9914
3,alexelcapo,es,['Español'],Special Events,509663,93758
4,aminematue,fr,['Français'],Just Chatting,509658,52468
5,anny,en,"['vtuber', 'forsen', 'depression', 'anime', 'gayge', 'PoroSad', 'English']",Just Chatting,509658,16146
6,95pingman,ko,['한국어'],Just Chatting,509658,16019
7,aimdll__,tr,['Türkçe'],VALORANT,516575,29066
8,al3od,ar,['Arabic'],Just Chatting,509658,9589
9,alberee,es,alberee,Crypto,499634,8545
10,apexerpinky,ja,"['日本語', 'ApexLegens', 'pinky', 'GHS', 'VALORONAT']",Apex Legends,511224,3971
11,ao_o5,ko,['한국어'],Just Chatting,509658,10572
12,animal_n01,it,"['grandtheftauto', 'fps', 'aziz', 'red', 'rossi', 'Italiano', 'Albania', 'Albanian', 'albanese']",Grand Theft Auto V,32982,6467
13,aba4647,ko,"['훈수금지', '한국어']",League of Legends,21779,51625
14,8cho,es,8cho,Just Chatting,509658,81464
15,9ambler,ko,"['한국어', '드롭활성화됨']",9ambler,9ambler,12717
16,a541021,zh,['中文'],Grand Fantasia: Origin,2033059445,19515
17,andreadel1988,it,"['Italiano', 'reactions']",The Bathhouse Restored Edition,1596433827,30121
18,absoluttlol,pt,"['Português', 'Portuguese', 'LoL', 'English', 'ADCARRY', 'ADC', 'Absolut', 'Challenger']",Counter-Strike,32399,8096
19,adeptthebest,en,"['English', 'AI', 'AIGF', 'girlsgaysntheys', 'News', 'drama', 'AIWIFE', 'WIFE']",Counter-Strike,32399,35443
20,9impulse,ru,['Русский'],The Witcher 3: Wild Hunt,115977,14396
21,alfrea,ja,"['ネタバレ禁止', 'アドバイス禁止', '日本語']",League of Legends,21779,10173
22,aimsey,en,"['English', 'Aimsey', 'ILoveAttackOnTitan', 'AdventureTime']",Until Then,1174671315,33049
23,109ace,ko,['한국어'],Hearthstone,138585,30832
24,acro_land,ko,['한국어'],Last Epoch,503932,4419
25,2chamcham2,ko,['한국어'],Minecraft,27471,42002
26,aceu,en,"['buh', 'English']",Black Myth: Wukong,519291,161479
27,actingliketommy,en,"['news', 'politics', 'PoliticalPunk', 'englìsh', 'GamerRage', 'Ally', 'ActingLikeTommy', 'English']",Just Chatting,509658,18219
28,airshowerse,ko,['한국어'],Just Chatting,509658,4011
29,albislol,zh,"['中文', 'SF6', 'Rashid', 'ストリートファイター6']",Path of Exile,29307,6530
30,agurin,en,"['Deutsch', 'English']",League of Legends,21779,37156
31,aircool,en,"['English', 'IRL', 'irlstream']",Slots,498566,13019
32,ajehr,ko,['한국어'],Just Chatting,509658,23762
33,allkeyshop_tv,en,"['English', 'Español', 'francais', 'korean', 'Rerun']",TopSpin 2K25,145906249,1685
34,39daph,en,"['Guam', 'Evil', 'Unhygienic', 'Unholy', 'English', 'Geriatric', 'Deceptive']",Black Myth: Wukong,519291,85168
35,bebe872,en,"['English', 'Challenger', 'RANK1', 'Blue', 'Dragon', 'Playstyle']",DARK SOULS III,490292,9092
36,bbonge_,ko,['한국어'],Just Chatting,509658,19422
37,bighead033,ko,"['한국어', '드롭활성화됨']",Escape from Tarkov,491931,11136
38,blackelespanolito,es,"['Español', 'valorant', 'ValorantES', 'counterstrike', 'counterstrike2', 'CS2', 'DropsActivados']",Spectre Divide,1451084268,43570
39,bigdumbgaming,en,['English'],World of Warcraft,18122,17
40,aspiringspike,en,['English'],Magic: The Gathering,2748,11192
41,bamow,zh,['中文'],Supermarket Together,942317893,7452
42,aypierre,fr,"['minecraft', 'redstone', 'urssaf', 'Hardcore', 'Français', 'SurvivaI', 'gaming', 'gestion']",Special Events,509663,27138
43,belvid,es,['Español'],Fortnite,33214,9605
44,bananabrea,en,['English'],VALORANT,516575,30264
45,awesamdude,en,"['English', 'awesamdude']",VALORANT,516575,1926
46,bbbb87,zh,['中文'],Just Chatting,509658,30558
47,berkriptepe,tr,"['Türkçe', 'cs', 'cs2']",Counter-Strike,32399,22120
48,aroyitt,es,"['aroyitt', 'Español']",Just Chatting,509658,21142
49,benjyfishy,en,"['Valorant', 'Competitive', 'Radiant', 'English']",VALORANT,516575,61572
50,blanchitooo,es,"['Español', 'charlando']",Music,26936,10957
51,beryl_lulu,zh,['中文'],Just Chatting,509658,35184
52,auronplay,es,"['Auron', 'Español']",Just Chatting,509658,905978
