,Source,Target,Weight
372,valorant_kr,wkgml,778
373,valorant_kr,sinatraa,764
374,valorant_kr,hanryang1125,1164
376,valorant_kr,2chamcham2,855
377,valorant_kr,yapyap30,795
378,valorant_kr,rngudwnswkd,1094
379,valorant_kr,pjs9073,1222
380,valorant_kr,handongsuk,1455
381,valorant_kr,pacific8815,697
382,valorant_kr,cherrypach,535
383,valorant_kr,9ambler,516
384,valorant_kr,obm1025,1194
385,valorant_kr,woowakgood,1146
387,valorant_kr,bbonge_,510
388,valorant_kr,tmxk319,1123
390,valorant_kr,leechunhyang,764
392,valorant_kr,jdm2088,715
393,valorant_kr,rkdwl12,585
395,valorant_kr,ddahyoni,797
397,valorant_kr,jinu6734,736
399,valorant_kr,gongparipa,749
400,valorant_kr,saddummy,883
401,valorant_kr,valorant_jpn,598
402,valorant_kr,zilioner,989
403,valorant_kr,runner0608,791
404,valorant_kr,nokduro,778
405,valorant_kr,paka9999,854
406,valorant_kr,ch1ckenkun,925
407,valorant_kr,aba4647,667
408,valorant_kr,shroud,1261
409,valorant_kr,silphtv,653
410,valorant_kr,95pingman,588
411,valorant_kr,nanayango3o,524
412,valorant_kr,kumikomii,575
414,valorant_kr,dda_ju,614
480,relaxing234,takesipon,5338
481,relaxing234,brothers_baseball,3038
483,relaxing234,momo_sports,2800
484,relaxing234,crazyfacetw,1763
485,relaxing234,xhibaoger,7768
486,relaxing234,longwu1216,568
487,relaxing234,wtf_winds123,8093
490,relaxing234,mayapie1,1029
492,relaxing234,gearbaby1010,13587
493,relaxing234,breeze0920,2486
495,relaxing234,yuniko0720,3066
496,relaxing234,sneakylol,674
498,relaxing234,beryl_lulu,6804
499,relaxing234,boxbox,759
500,relaxing234,sixwong,3425
501,relaxing234,nein1203,1889
502,relaxing234,mobilmobil,5869
504,relaxing234,carry_game,10753
506,relaxing234,sweetcampercs,6938
507,relaxing234,uzra,6547
508,relaxing234,midbeast,554
509,relaxing234,kannachan524,4079
510,relaxing234,slrabbit99,2229
511,relaxing234,wayne75525,5293
513,relaxing234,failverde,4028
514,relaxing234,franchiseglobalart,1554
515,relaxing234,bbbb87,7067
516,relaxing234,lyon3k,1203
517,relaxing234,albislol,1838
519,relaxing234,kentung,3315
520,relaxing234,jielun1215,975
521,relaxing234,shuteye_orange,4413
523,relaxing234,blusewilly_retry,6701
524,relaxing234,jeffnam1129,795
525,relaxing234,haxxnini,1945
527,relaxing234,chodan_,615
532,relaxing234,guanweiboy,7272
533,relaxing234,inkiiing,1397
534,relaxing234,linfufu,2421
536,relaxing234,jongie,1206
537,relaxing234,woohankyung,1750
539,relaxing234,chen810830,3933
542,relaxing234,ggbb528,5105
544,relaxing234,zhiting_li,7425
546,relaxing234,mimiluckying,1466
547,relaxing234,zrush,5003
548,relaxing234,roieee,3719
550,relaxing234,zondalol,1454
551,relaxing234,waitou1117,745
552,relaxing234,qttsix,4034
553,relaxing234,et_1231,9098
554,relaxing234,a541021,3789
555,relaxing234,hipudding1223,1027
558,relaxing234,muse_tw,3674
559,relaxing234,qq7925168,4203
560,relaxing234,butterflyouo,5244
562,relaxing234,loltyler1,1668
563,relaxing234,zynxyz,758
564,relaxing234,sooflower,1468
565,relaxing234,bebelolz,9820
567,relaxing234,lilballzlolz,1781
569,relaxing234,shroud,1622
570,relaxing234,chiawei1031tv,1952
571,relaxing234,xargon0731,8340
572,relaxing234,kyo1984123,5211
575,relaxing234,gunguno,4295
576,relaxing234,kr1stw,1410
579,relaxing234,mr_wuco,3225
580,relaxing234,aceu,1041
582,relaxing234,q158688920,2185
583,relaxing234,lol_nemesis,564
584,relaxing234,kiss_850722,1488
586,relaxing234,godjj,10206
587,relaxing234,kamiyu666,845
588,relaxing234,dogdog,1016
589,relaxing234,lolpacifictw,1681
590,relaxing234,bamow,916
1865,elreyguiri_f1,elxokas,1359
1871,elreyguiri_f1,auronplay,1407
1872,elreyguiri_f1,ibai,3250
1874,snow_hite,ses836,705
1875,snow_hite,rudbeckia7,591
1876,snow_hite,liok0485,705
1877,snow_hite,wkgml,5688
1878,snow_hite,hanryang1125,817
1879,snow_hite,h920103,2526
1880,snow_hite,2chamcham2,7885
1881,snow_hite,yapyap30,771
1882,snow_hite,dogswellfish,960
1883,snow_hite,rngudwnswkd,995
1884,snow_hite,pjs9073,6322
1885,snow_hite,naseongkim,888
1886,snow_hite,flamekr,541
1887,snow_hite,handongsuk,2130
1888,snow_hite,dkwl025,1811
1889,snow_hite,rooftopcat99,635
1890,snow_hite,pacific8815,1050
1891,snow_hite,cherrypach,6123
