,Channel_Name,Language,Tags,Last_Played_Game,Game_ID,ChannelID,Count,followers
0,01bd02,ko,"['한국서버', '한국어']",Just Chatting,509658,597621638,9494,67049
1,alelu,ja,"['日本語', 'apex', '雑談']",Apex Legends,511224,195343482,13509,157965
2,annoying,en,"['YRG', 'Nation', 'Kai', 'Cenat', 'ScumTK', 'Silky', 'English', '5star', 'plaqueboymax']",Just Chatting,509658,92372244,46973,705137
3,1drakonz,pt,['Português'],Grand Theft Auto V,32982,118787650,18974,646457
4,abdulhd,en,"['Nopixel', 'REACT', 'variety', 'Dubai', 'Arabic', 'UnitedArabEmirates', 'SaudiArabia', 'English', 'Roleplay', 'Cooking']",Grand Theft Auto V,32982,42546908,68831,374667
5,alanzoka,pt,"['Idoso', 'Gostoso', 'Português']",Just Chatting,509658,38244180,201431,7262666
6,alenenwooptv,ko,['한국어'],Just Chatting,509658,137753119,9914,162462
7,alexelcapo,es,['Español'],Special Events,509663,36138196,93758,1074897
8,aminematue,fr,['Français'],Just Chatting,509658,407388596,52468,2772621
9,andypsx,es,['Español'],Poker,488190,70142975,11680,102782
10,anny,en,"['vtuber', 'forsen', 'depression', 'anime', 'gayge', 'PoroSad', 'English']",Just Chatting,509658,56418014,16146,380225
11,ac7ionman,en,"['Español', 'LGBTQ', 'AndrewTate', 'VTuber', 'English', 'KaiCenat', 'XQC', 'AdinRoss', 'Kevin', 'Fortnite']",Just Chatting,509658,124467382,10905,695174
12,aiekillu,fr,['Français'],Escape from Tarkov,491931,27085209,10564,774734
13,aimlul,ru,"['Русский', 'Депре́ссия', 'Животные', 'Шизофрения', 'DropsВключены']",Arena Breakout: Infinite,401587136,63828424,10204,87170
14,anniefuchsia,en,"['pve', 'pvp', 'adhd', 'hardcore', 'English', 'Swedish', 'girl']",Black Myth: Wukong,519291,61294188,29331,430547
15,anton,en,['English'],Escape from Tarkov,491931,63880003,12107,252491
16,adrianachechik_,en,"['MentalHealth', 'gamer', 'DLC', 'LGBTQ', 'English', 'couchcoop', 'gilrstreamer', 'Foodie', 'scarygames', 'emotionaldamage']",Hellblade: Senua's Sacrifice,461410,457124238,28986,874241
17,alanzq,en,"['English', 'polish']",Teamfight Tactics,513143,102845655,16905,65381
18,alliance_hakis,en,"['IGL', 'Comp', 'Scrim', 'Tourney', 'Pro', 'Alliance', 'Ranked', 'ApexPredator', 'English', 'movementgod']",Apex Legends,511224,27268093,8797,106404
19,alinity,en,"['English', 'Latina', 'Colombia', 'Spicy', 'FeetLoversWelcome']",Just Chatting,509658,38718052,69905,1512072
20,anomaly,en,"['English', 'Fat', 'CS2']",Golf With Your Friends,491381,76508554,21788,2803963
21,95pingman,ko,['한국어'],Just Chatting,509658,138117155,16019,292867
22,aimdll__,tr,['Türkçe'],VALORANT,516575,124368186,29066,374360
23,al3od,ar,['Arabic'],Just Chatting,509658,412271003,9589,105396
24,acie,en,['English'],VALORANT,516575,184336761,16172,283394
25,admiralbulldog,en,['English'],Dota 2,29595,30816637,49942,786663
26,agentsrange,de,['Competitive'],VALORANT,516575,539061618,7376,28174
27,alberee,es,alberee,Crypto,499634,521892217,8545,301562
28,annacramling,en,"['English', 'Chess', 'Sweden', 'Educational', 'Competitive', 'FutureGrandmaster']",Food & Drink,509667,485234908,16776,442186
29,5up,en,"['English', 'Vtuber', 'ENVtuber']",Town of Salem 2,1238739089,86061418,20475,933965
30,9qoq,zh,"['FPS', '技術路線', '劇情向', '公務員', '中文']",VALORANT,516575,188490730,17064,83891
31,abuswe7l,ar,"['arabic', 'arab', 'justchatting', 'GTAⅤ', 'RP', 'OL']",Just Chatting,509658,230301324,8246,261088
32,annemunition,en,"['English', 'LGBTQFriendly', 'ClosedCaptions']",Minecraft,27471,51533859,12340,617386
33,apexerpinky,ja,"['日本語', 'ApexLegens', 'pinky', 'GHS', 'VALORONAT']",Apex Legends,511224,445599450,3971,39640
34,aa9skillz,en,['English'],EA Sports FC 24,143106037,20993498,25898,781708
35,alfie,en,"['Christian', 'English']",Old School RuneScape,459931,24138907,10059,232041
36,ao_o5,ko,['한국어'],Just Chatting,509658,495591197,10572,204348
37,akanemsko,en,"['English', 'Educational', 'finnish', 'Competitive', 'VolumeWarning', 'IRL']",Poker,488190,180671441,15555,343295
38,albralelie,en,['English'],Escape from Tarkov,491931,112868442,36500,610982
39,alphacast,fr,"['Français', 'NoBackseat', 'NoSpoilers']",Special Events,509663,94435040,36719,623829
40,animal_n01,it,"['grandtheftauto', 'fps', 'aziz', 'red', 'rossi', 'Italiano', 'Albania', 'Albanian', 'albanese']",Grand Theft Auto V,32982,115821061,6467,99667
41,a_seagull,en,"['old', 'boomer', 'washed', 'English']",League of Legends,21779,19070311,27133,1155030
42,aarononair,en,"['IRL', 'English', 'Roleplay', 'CopRP', 'K9', 'K9Roleplay', 'ONX', 'ONXRP']",OUTBRK,100748035,26484662,7098,57005
43,admiralbahroo,en,"['Comfy', 'Relaxed', 'Stream', 'English']",admiralbahroo,admiralbahroo,40972890,90032,851809
44,aba4647,ko,"['훈수금지', '한국어']",League of Legends,21779,29654002,51625,681038
45,ampeterby7,es,['Español'],F1 23,174553474,77649106,55101,2354665
46,anna_chess,en,"['AuditoryASMR', 'Educational', 'positivevibes', 'cozy', 'familyfriendly', 'English', 'norwaychess', 'chess']",Stardew Valley,490744,180861765,11886,281079
47,8cho,es,8cho,Just Chatting,509658,93132142,81464,1355804
48,9ambler,ko,"['한국어', '드롭활성화됨']",9ambler,9ambler,130445097,12717,200966
49,a541021,zh,['中文'],Grand Fantasia: Origin,2033059445,25236843,19515,236390
50,alkaizerx,en,['English'],Path of Exile,29307,35916854,29477,232787
51,alliedesports,en,"['Esports', 'English']",Super Smash Bros. Ultimate,504461,419619583,2048,73354
