,Channel_Name,Language,Tags,Last Played Game,Game ID,ChannelID,Count
0,01bd02,ko,"['한국서버', '한국어']",Just Chatting,509658,597621638,9494
1,alelu,ja,"['日本語', 'apex', '雑談']",Apex Legends,511224,195343482,13509
2,annoying,en,"['YRG', 'Nation', 'Kai', 'Cenat', 'ScumTK', 'Silky', 'English', '5star', 'plaqueboymax']",Just Chatting,509658,92372244,46973
3,1drakonz,pt,['Português'],Grand Theft Auto V,32982,118787650,18974
4,abdulhd,en,"['Nopixel', 'REACT', 'variety', 'Dubai', 'Arabic', 'UnitedArabEmirates', 'SaudiArabia', 'English', 'Roleplay', 'Cooking']",Grand Theft Auto V,32982,42546908,68831
5,alanzoka,pt,"['Idoso', 'Gostoso', 'Português']",Just Chatting,509658,38244180,201431
6,alenenwooptv,ko,['한국어'],Just Chatting,509658,137753119,9914
7,alexelcapo,es,['Español'],Special Events,509663,36138196,93758
8,aminematue,fr,['Français'],Just Chatting,509658,407388596,52468
9,andypsx,es,['Español'],Poker,488190,70142975,11680
10,anny,en,"['vtuber', 'forsen', 'depression', 'anime', 'gayge', 'PoroSad', 'English']",Just Chatting,509658,56418014,16146
11,ac7ionman,en,"['Español', 'LGBTQ', 'AndrewTate', 'VTuber', 'English', 'KaiCenat', 'XQC', 'AdinRoss', 'Kevin', 'Fortnite']",Just Chatting,509658,124467382,10905
12,aiekillu,fr,['Français'],Escape from Tarkov,491931,27085209,10564
13,aimlul,ru,"['Русский', 'Депре́ссия', 'Животные', 'Шизофрения', 'DropsВключены']",Arena Breakout: Infinite,401587136,63828424,10204
14,anniefuchsia,en,"['pve', 'pvp', 'adhd', 'hardcore', 'English', 'Swedish', 'girl']",Black Myth: Wukong,519291,61294188,29331
15,anton,en,['English'],Escape from Tarkov,491931,63880003,12107
16,adrianachechik_,en,"['MentalHealth', 'gamer', 'DLC', 'LGBTQ', 'English', 'couchcoop', 'gilrstreamer', 'Foodie', 'scarygames', 'emotionaldamage']",Hellblade: Senua's Sacrifice,461410,457124238,28986
17,alanzq,en,"['English', 'polish']",Teamfight Tactics,513143,102845655,16905
18,alliance_hakis,en,"['IGL', 'Comp', 'Scrim', 'Tourney', 'Pro', 'Alliance', 'Ranked', 'ApexPredator', 'English', 'movementgod']",Apex Legends,511224,27268093,8797
19,alinity,en,"['English', 'Latina', 'Colombia', 'Spicy', 'FeetLoversWelcome']",Just Chatting,509658,38718052,69905
20,anomaly,en,"['English', 'Fat', 'CS2']",Golf With Your Friends,491381,76508554,21788
21,95pingman,ko,['한국어'],Just Chatting,509658,138117155,16019
22,aimdll__,tr,['Türkçe'],VALORANT,516575,124368186,29066
23,al3od,ar,['Arabic'],Just Chatting,509658,412271003,9589
24,acie,en,['English'],VALORANT,516575,184336761,16172
25,admiralbulldog,en,['English'],Dota 2,29595,30816637,49942
26,agentsrange,de,['Competitive'],VALORANT,516575,539061618,7376
27,alberee,es,alberee,Crypto,499634,521892217,8545
28,annacramling,en,"['English', 'Chess', 'Sweden', 'Educational', 'Competitive', 'FutureGrandmaster']",Food & Drink,509667,485234908,16776
29,5up,en,"['English', 'Vtuber', 'ENVtuber']",Town of Salem 2,1238739089,86061418,20475
30,9qoq,zh,"['FPS', '技術路線', '劇情向', '公務員', '中文']",VALORANT,516575,188490730,17064
31,abuswe7l,ar,"['arabic', 'arab', 'justchatting', 'GTAⅤ', 'RP', 'OL']",Just Chatting,509658,230301324,8246
32,annemunition,en,"['English', 'LGBTQFriendly', 'ClosedCaptions']",Minecraft,27471,51533859,12340
33,apexerpinky,ja,"['日本語', 'ApexLegens', 'pinky', 'GHS', 'VALORONAT']",Apex Legends,511224,445599450,3971
34,aa9skillz,en,['English'],EA Sports FC 24,143106037,20993498,25898
35,alfie,en,"['Christian', 'English']",Old School RuneScape,459931,24138907,10059
36,ao_o5,ko,['한국어'],Just Chatting,509658,495591197,10572
37,akanemsko,en,"['English', 'Educational', 'finnish', 'Competitive', 'VolumeWarning', 'IRL']",Poker,488190,180671441,15555
38,albralelie,en,['English'],Escape from Tarkov,491931,112868442,36500
39,alphacast,fr,"['Français', 'NoBackseat', 'NoSpoilers']",Special Events,509663,94435040,36719
40,animal_n01,it,"['grandtheftauto', 'fps', 'aziz', 'red', 'rossi', 'Italiano', 'Albania', 'Albanian', 'albanese']",Grand Theft Auto V,32982,115821061,6467
41,a_seagull,en,"['old', 'boomer', 'washed', 'English']",League of Legends,21779,19070311,27133
42,aarononair,en,"['IRL', 'English', 'Roleplay', 'CopRP', 'K9', 'K9Roleplay', 'ONX', 'ONXRP']",OUTBRK,100748035,26484662,7098
43,admiralbahroo,en,"['Comfy', 'Relaxed', 'Stream', 'English']",admiralbahroo,admiralbahroo,40972890,90032
44,aba4647,ko,"['훈수금지', '한국어']",League of Legends,21779,29654002,51625
45,ampeterby7,es,['Español'],F1 23,174553474,77649106,55101
46,anna_chess,en,"['AuditoryASMR', 'Educational', 'positivevibes', 'cozy', 'familyfriendly', 'English', 'norwaychess', 'chess']",Stardew Valley,490744,180861765,11886
47,8cho,es,8cho,Just Chatting,509658,93132142,81464
48,9ambler,ko,"['한국어', '드롭활성화됨']",9ambler,9ambler,130445097,12717
49,a541021,zh,['中文'],Grand Fantasia: Origin,2033059445,25236843,19515
50,alkaizerx,en,['English'],Path of Exile,29307,35916854,29477
51,alliedesports,en,"['Esports', 'English']",Super Smash Bros. Ultimate,504461,419619583,2048
52,amouranth,en,"['English', 'IRL', 'Español']","Pools, Hot Tubs, and Beaches",116747788,125387632,438001
53,andreadel1988,it,"['Italiano', 'reactions']",The Bathhouse Restored Edition,1596433827,198633705,30121
54,annitheduck,de,"['LGBTＱ', 'Deutsch', 'SpecialEvents']",ELDEN RING,512953,126884070,73541
55,absoluttlol,pt,"['Português', 'Portuguese', 'LoL', 'English', 'ADCARRY', 'ADC', 'Absolut', 'Challenger']",Counter-Strike,32399,105278736,8096
56,adeptthebest,en,"['English', 'AI', 'AIGF', 'girlsgaysntheys', 'News', 'drama', 'AIWIFE', 'WIFE']",Counter-Strike,32399,116885541,35443
57,agraelus,cs,"['Godgamer', 'AntiOravec', 'Stunlock', 'Točka', 'Čeština']",Just Chatting,509658,36620767,42527
58,alliege,es,"['Español', 'pro', 'FortniteTV']",Fortnite,33214,243963817,67189
59,9impulse,ru,['Русский'],The Witcher 3: Wild Hunt,115977,129631469,14396
60,alexby11,es,['Español'],Black Myth: Wukong,519291,19942092,37976
61,alfrea,ja,"['ネタバレ禁止', 'アドバイス禁止', '日本語']",League of Legends,21779,45839490,10173
62,adal,tr,"['Adal', 'Minecraft', 'Türkçe']",Minecraft,27471,143794475,27166
63,agentemaxo,es,['Español'],Just Chatting,509658,210485458,20389
64,ahrinyan,ru,"['Русский', 'English']",Just Chatting,509658,84594988,30424
65,aimsey,en,"['English', 'Aimsey', 'ILoveAttackOnTitan', 'AdventureTime']",Until Then,1174671315,192434734,33049
66,109ace,ko,['한국어'],Hearthstone,138585,102900195,30832
67,a1taoda,uk,"['Українська', 'Engisih', 'Русский']",Dota 2,29595,51435464,18937
68,acro_land,ko,['한국어'],Last Epoch,503932,112610505,4419
69,agbin3r,es,['Español'],Carreras de Velocidad,1489303939,28344564,14881
70,agustabell212,es,"['Español', 'DropsActivados']",Rust,263490,114772787,167756
71,altair,fr,"['Humour', 'GoodVibes', 'Gaming', 'Français', 'MaxDifficulty', 'BienMonté']",Just Chatting,509658,190708734,20379
72,amar,de,"['Deutsch', 'English']",Fortnite,33214,67931625,82919
73,apryze,en,['English'],Apex Legends,511224,45698099,32841
74,10000days,tr,"['Küfürsüz', 'Türkçe']",PUBG: BATTLEGROUNDS,493057,43414943,11781
75,2chamcham2,ko,['한국어'],Minecraft,27471,133923936,42002
76,adrive,en,['English'],Elestrals,27124935,14339949,15238
77,aquafps,en,['English'],Escape from Tarkov,491931,134666774,30054
78,anthony_kongphan,en,"['Cheesecake', 'English', 'Vampire', 'Ninja', 'Thai', 'Variety']",Escape from Tarkov,491931,21588571,44817
79,aceu,en,"['buh', 'English']",Black Myth: Wukong,519291,88946548,161479
80,alexclick,fr,"['Français', 'IRL', 'challenge']",Raid: Shadow Legends,508948,89284114,21082
81,almxnd,en,"['English', 'Almond', 'Warzone', 'CallofDuty', 'mw3', 'almxnd']",Call of Duty: Warzone,512710,99196611,13066
82,alphasniper97,es,"['español', 'callofduty', 'warzone', 'Español', 'DropsActivados']",XDefiant,780302568,29810567,9394
83,antoinedaniel,fr,['Français'],TUNIC,497432,135468063,66583
84,actingliketommy,en,"['news', 'politics', 'PoliticalPunk', 'englìsh', 'GamerRage', 'Ally', 'ActingLikeTommy', 'English']",Just Chatting,509658,232402813,18219
85,airshowerse,ko,['한국어'],Just Chatting,509658,101507797,4011
86,alixxa,en,"['English', 'loud']",Fortnite,33214,100372176,12838
87,albislol,zh,"['中文', 'SF6', 'Rashid', 'ストリートファイター6']",Path of Exile,29307,17858826,6530
88,alohadancetv,ru,['Русский'],Tournament Poker,3151,46571894,73381
89,amaru,fr,['Français'],VALORANT,516575,219431490,71579
90,amaz,en,"['amaziscool', 'amazisawesome', 'amazisthebest', 'English']",Brotato,743214338,43356746,16692
91,anthonyz,en,['English'],Grand Theft Auto V,32982,119415848,103588
92,agurin,en,"['Deutsch', 'English']",League of Legends,21779,31545223,37156
93,aircool,en,"['English', 'IRL', 'irlstream']",Slots,498566,178238725,13019
94,ajehr,ko,['한국어'],Just Chatting,509658,138240340,23762
95,allkeyshop_tv,en,"['English', 'Español', 'francais', 'korean', 'Rerun']",TopSpin 2K25,145906249,198461840,1685
96,anastasia_rose_official,de,"['Djane', 'Party', 'Eskalation', 'Love', 'Deutsch', 'music', 'DJLivemix', 'DJ', '808ontwitch', 'Techno']",DJs,1669431183,503630305,14368
97,angrypug,en,"['English', 'Solo', 'Casual', 'Rerun']",Dead by Daylight,491487,63164470,33861
98,39daph,en,"['Guam', 'Evil', 'Unhygienic', 'Unholy', 'English', 'Geriatric', 'Deceptive']",Black Myth: Wukong,519291,160504245,85168
99,crazyraccoonyy,ja,"['わいわい', '日本語', '名匠']",Pawafuru Puro Yakyuu 2024-2025,1183847148,174700590,10720
100,aktep,ru,['Животные'],World of Tanks,27546,49495142,13127
101,blackmediapresents,en,"['sunnyandtheblackpack', 'blackmediapresents', 'blackmediafamily', 'positivity', 'Leagueoflegends', 'music', 'English', 'Acoustic']",League of Legends,21779,63904921,1423
102,back2warcraft,en,"['Esports', 'strategy', 'rts', 'English', 'Deutsch']",Warcraft III,12924,24657677,15865
103,bastighg,de,"['GHG', 'Deutsch']",Minecraft,27471,38121996,53872
